Nr,Name,FIDE ID,Born,Birthplace,Died,Title,Federation,Sex,Notes
971,"Kuzmin, Gennady",14100070,19.01.1946,Mariinsk,28.02.2020,1973,Ukraine,M,[obit 22]
1831,"Tukmakov, Vladimir B.",14100096,15.03.1946,Odesa,,1972,Soviet Union,M,currently Ukraine
1667,"Smejkal, Jan",300020,22.03.1946,Lanškroun,,1972,Czecho­slovakia,M,currently Czech Republic
449,"Faragó, Iván",700134,01.04.1946,Budapest,12.12.2022,1976,Hungary,M,[obit 11]
1476,"Rashkovsky, Nukhim N.",4100603,18.04.1946,Sverdlovsk,14.03.2023,1980,Soviet Union,M,later Russia[obit 34]
1108,"Mariotti, Sergio",800023,10.08.1946,Florence,,1974,Italy,M,
762,"Ivanović, Božidar",900095,24.08.1946,Cetinje,,1978,Yugoslavia,M,[note 50] currently Montenegro
262,"Butnorius, Algimantas",12800066,20.11.1946,Kaunas,30.10.2017,2007,Lithuania,M,later Monaco
1448,"Pushkov, Nikolai",4117131,28.11.1946,Tambov,,1994,Russia,M,
759,"Ivanov, Igor Vasilyevich",2000288,08.01.1947,Leningrad,17.11.2005,2005,Canada,M,Di Felice[note 48]
626,"Gulko, Boris",2000040,09.02.1947,Erfurt,,1976,Soviet Union,M,currently United States
1688,"Soltis, Andrew",2000741,28.05.1947,"Hazleton, Pennsylvania",,1980,United States,M,
1736,"Şubă, Mihai",1203363,01.06.1947,Bucharest,,1978,Romania,M,currently Spain
1997,"Zeitlein, Michael",4655060,16.06.1947,Babruysk,,1987,Soviet Union,M,formerly Mikhail Tseitlin; later Russia; currently Germany
1904,"Vorotnikov, Vladislav V.",4103009,17.08.1947,Leningrad,,2005,Russia,M,
1646,"Sigurjónsson, Guðmundur",2300079,25.09.1947,Reykjavík,,1975,Iceland,M,
1748,"Suradiradja, Herman",7100167,14.10.1947,Sukabumi,06.06.2016,1978,Indonesia,M,
556,"Giorgadze, Tamaz",13600028,09.11.1947,Tbilisi,,1977,Soviet Union,M,currently Georgia
966,"Kurajica, Bojan",14400057,15.11.1947,Ljubljana,,1974,Yugoslavia,M,;[note 56] later Bosnia and Herzegovina; currently Croatia
833,"Kaufman, Lawrence",2000555,15.11.1947,Washington,,2008,United States,M,winner 2008 World Senior Chess Championship
1001,"Lechtýnský, Jiří",300217,25.11.1947,Jablonec nad Nisou,,1982,Czech Republic,M,
1453,"Quinteros, Miguel A.",100021,28.12.1947,Buenos Aires,,1973,Argentina,M,
1845,"Vadász, László",700401,27.01.1948,Kiskun­félegyháza,03.01.2005,1976,Hungary,M,
840,"Keene, Raymond D.",400211,29.01.1948,London,,1976,England,M,
1651,"Simić, Radoslav",900184,09.06.1948,Mali Požarevac,13.01.2020,1984,Yugoslavia,M,later Serbia[obit 37]
719,"Hübner, Robert",4600010,06.11.1948,Cologne,,1971,West Germany,M,Gaige;[note 46] currently Germany
443,"Espig, Lutz",4611276,05.01.1949,Greiz,,1983,Germany,M,
244,"Browne, Walter",2000210,10.01.1949,Sydney,24.06.2015,1970,Australia,M,later United States
835,"Kayumov, Dmitry D.",14200090,28.02.1949,Tashkent,28.07.2021,2003,Uzbekistan,M,title application[obit 18]
1848,"Vaisser, Anatoly",603252,05.03.1949,Alma Ata,,1985,Soviet Union,M,later Russia; currently France
133,"Balashov, Yuri S.",4100263,12.03.1949,Shadrinsk,,1973,Soviet Union,M,currently Russia
411,"Dydyshko, Viacheslav",13500031,10.04.1949,Minsk,,1995,Belarus,M,
1797,"Timoscenko, Gennadij",14901536,27.04.1949,Cheliabinsk,,1980,Soviet Union,M,currently Slovakia
1465,"Raičević, Vladimir",900605,02.05.1949,Travnik,,1976,Yugoslavia,M,later Serbia and Montenegro; currently Serbia
965,"Kupreichik, Viktor",13500066,03.07.1949,Minsk,22.05.2017,1980,Soviet Union,M,later Belarus
436,"Ermenkov, Evgenij",2900106,29.09.1949,Sofia,,1977,Bulgaria,M,
